,path,sample_rate,score
0,./data/piano/notes/out039.wav,44100,2501.8330308947257
1,./data/piano/notes/out008.wav,44100,2215.8860743485598
2,./data/piano/notes/out021.wav,44100,1837.0204878392174
3,./data/piano/notes/out016.wav,44100,1168.8035881622245
4,./data/piano/notes/out010.wav,44100,1866.4923172637355
5,./data/piano/notes/out000.wav,44100,1956.5006468276447
6,./data/piano/notes/out027.wav,44100,1845.4193376367518
7,./data/piano/notes/out037.wav,44100,2362.451005434164
8,./data/piano/notes/out017.wav,44100,1800.8552911098916
9,./data/piano/notes/out004.wav,44100,1710.079766065505
10,./data/piano/notes/out023.wav,44100,1486.6575227741632
11,./data/piano/notes/out019.wav,44100,1734.9946358392374
12,./data/piano/notes/out022.wav,44100,1871.144464673336
13,./data/piano/notes/out014.wav,44100,1442.9922689033901
14,./data/piano/notes/out028.wav,44100,2382.5946184991253
15,./data/piano/notes/out013.wav,44100,1938.4890050576014
16,./data/piano/notes/out012.wav,44100,2639.527320617297
17,./data/piano/notes/out005.wav,44100,1717.7427959105773
18,./data/piano/notes/out009.wav,44100,2017.3055274215694
19,./data/piano/notes/out020.wav,44100,984.359278980611
20,./data/piano/notes/out018.wav,44100,1899.4637603416513
21,./data/piano/notes/out002.wav,44100,2200.661608639539
22,./data/piano/notes/out006.wav,44100,1549.0703436433935
23,./data/piano/notes/out024.wav,44100,2073.580779222412
24,./data/piano/notes/out033.wav,44100,1779.927914495447
25,./data/piano/notes/out015.wav,44100,1415.8306903598557
26,./data/piano/notes/out003.wav,44100,2103.7526617055237
27,./data/piano/notes/out030.wav,44100,1491.3272905497224
28,./data/piano/notes/out001.wav,44100,2608.0392630779033
29,./data/piano/notes/out035.wav,44100,1185.5971337247847
30,./data/piano/notes/out011.wav,44100,2190.650935801233
31,./data/piano/notes/out029.wav,44100,2235.7755037654315
32,./data/piano/notes/out031.wav,44100,2017.5247416135455
33,./data/piano/notes/out026.wav,44100,1785.421946405794
34,./data/piano/notes/out007.wav,44100,1852.9701822055847
35,./data/piano/notes/out025.wav,44100,2556.345247099435
36,./data/piano/notes/out032.wav,44100,840.7237435340265
37,./data/piano/notes/out034.wav,44100,2337.7228331485953
